"","PLT_CN","STATE","PLOT","LAT","LON","spcd","FORTYPE","FORGRP","HT_MAX","BOLE_BIOMASS","TOP_BIOMASS","TOTAL_BIOMASS","common_name","scientific_name","FORGRP_NAME"
"243",3506819010690,"AZ",21716,33.98,-109.66,122,221,220,22.2504,5020.4173546611,859.084110242875,5879.50146490397,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"244",3506892010690,"AZ",21717,33.98,-109.66,122,221,220,21.6408,6892.2475968875,1276.99681841375,8169.24441530125,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"245",3507013010690,"AZ",21718,33.98,-109.66,122,221,220,23.1648,3867.746259517,666.1908091024,4533.9370686194,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"246",3507036010690,"AZ",21719,33.98,-109.66,114,221,220,12.192,55.3914699694,10.370990231925,65.762460201325,"southwestern white pine","Pinus strobiformis","Ponderosa pine group"
"247",3507036010690,"AZ",21719,33.98,-109.66,122,221,220,17.6784,1191.39452301318,221.807830481575,1413.20235349475,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"248",3507036010690,"AZ",21719,33.98,-109.66,202,221,220,24.384,6054.73304110173,1046.4721178673,7101.20515896903,"Douglas-fir","Pseudotsuga menziesii","Ponderosa pine group"
"249",3507106010690,"AZ",21720,33.98,-109.66,114,201,200,10.3632,36.6105970374,7.3158395091,43.9264365465,"southwestern white pine","Pinus strobiformis","Douglas-fir group"
"250",3507106010690,"AZ",21720,33.98,-109.66,122,201,200,20.4216,3634.15748067748,672.625724960375,4306.78320563785,"ponderosa pine","Pinus ponderosa","Douglas-fir group"
"251",3507106010690,"AZ",21720,33.98,-109.66,202,201,200,18.288,1207.13810540668,223.0706097941,1430.20871520078,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"252",3507210010690,"AZ",21721,33.98,-109.66,15,221,220,9.144,31.449702057025,6.36380857355,37.813510630575,"white fir","Abies concolor","Ponderosa pine group"
"253",3507210010690,"AZ",21721,33.98,-109.66,114,221,220,21.6408,1483.1701762055,244.4041827339,1727.5743589394,"southwestern white pine","Pinus strobiformis","Ponderosa pine group"
"254",3507210010690,"AZ",21721,33.98,-109.66,122,221,220,30.1752,12740.1778730446,2090.4091779058,14830.5870509504,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
